Question,implicit_zero_shot,explicit_zero_shot,auto_cot
"Were A Funny Thing Happened on the Way to the Moon and Air Force, Incorporated directed by the same person?","Were A Funny Thing Happened on the Way to the Moon and Air Force, Incorporated directed by the same person?","Were A Funny Thing Happened on the Way to the Moon and Air Force, Incorporated directed by the same person?
Let's think step by step.",
what is hh blood group,what is hh blood group,"what is hh blood group
Let's think step by step.",
cost to maintain inground pool,cost to maintain inground pool,"cost to maintain inground pool
Let's think step by step.",
megatropolis definition,megatropolis definition,"megatropolis definition
Let's think step by step.",
what is neem oil used for,what is neem oil used for,"what is neem oil used for
Let's think step by step.",
Is The Hub taller than 56 Leonard Street?,Is The Hub taller than 56 Leonard Street?,"Is The Hub taller than 56 Leonard Street?
Let's think step by step.",
What are the languages spoken by Matthew Perry whose AWLD status is 1 safe?,What are the languages spoken by Matthew Perry whose AWLD status is 1 safe?,"What are the languages spoken by Matthew Perry whose AWLD status is 1 safe?
Let's think step by step.",
David Watkin worked with such film directors as one known for his work on what 1980's film series?,David Watkin worked with such film directors as one known for his work on what 1980's film series?,"David Watkin worked with such film directors as one known for his work on what 1980's film series?
Let's think step by step.",
where is the ear lobe located,where is the ear lobe located,"where is the ear lobe located
Let's think step by step.",
Brady plc's clients include the world's second largest what?,Brady plc's clients include the world's second largest what?,"Brady plc's clients include the world's second largest what?
Let's think step by step.",
"The Hawaiians thought an extinct breed of pariah dog, other than human consumption of the flesh and other edible parts derived from dogs, were what ?","The Hawaiians thought an extinct breed of pariah dog, other than human consumption of the flesh and other edible parts derived from dogs, were what ?","The Hawaiians thought an extinct breed of pariah dog, other than human consumption of the flesh and other edible parts derived from dogs, were what ?
Let's think step by step.",
KBEV-FM is licensed to serve a city in Montana with what population as of the 2010 census?,KBEV-FM is licensed to serve a city in Montana with what population as of the 2010 census?,"KBEV-FM is licensed to serve a city in Montana with what population as of the 2010 census?
Let's think step by step.",
does a narcissist always come back,does a narcissist always come back,"does a narcissist always come back
Let's think step by step.",
what are food microorganisms,what are food microorganisms,"what are food microorganisms
Let's think step by step.",
"Which actor featured in Stage Left: A Story of Theater in San Francisco passed away on August 11, 2014 ?","Which actor featured in Stage Left: A Story of Theater in San Francisco passed away on August 11, 2014 ?","Which actor featured in Stage Left: A Story of Theater in San Francisco passed away on August 11, 2014 ?
Let's think step by step.",
Which is the Power of 10 athlete ID for Paula Radcliffe?,Which is the Power of 10 athlete ID for Paula Radcliffe?,"Which is the Power of 10 athlete ID for Paula Radcliffe?
Let's think step by step.",
The Millionaires' Unit is a documentary that was narrated by which actor?,The Millionaires' Unit is a documentary that was narrated by which actor?,"The Millionaires' Unit is a documentary that was narrated by which actor?
Let's think step by step.",
Which mathematician was the father of physicist Nikolai Borisovich Delone: Jakow Trachtenberg or Boris Delaunay?,Which mathematician was the father of physicist Nikolai Borisovich Delone: Jakow Trachtenberg or Boris Delaunay?,"Which mathematician was the father of physicist Nikolai Borisovich Delone: Jakow Trachtenberg or Boris Delaunay?
Let's think step by step.",
"Which band band released their first album in 2009, Starflyer 59 or Fun?","Which band band released their first album in 2009, Starflyer 59 or Fun?","Which band band released their first album in 2009, Starflyer 59 or Fun?
Let's think step by step.",
"A man who co-wrote ""What A Feeling"" with Mike Needle, Jamie Scott, Dan Bryer and Liam Payne became a member of One Direction after being eliminated from what British music competition series? ","A man who co-wrote ""What A Feeling"" with Mike Needle, Jamie Scott, Dan Bryer and Liam Payne became a member of One Direction after being eliminated from what British music competition series? ","A man who co-wrote ""What A Feeling"" with Mike Needle, Jamie Scott, Dan Bryer and Liam Payne became a member of One Direction after being eliminated from what British music competition series? 
Let's think step by step.",
What is the nationality of the author who wrote the novels on which the British-Irish crime drama television series Quirke is based?,What is the nationality of the author who wrote the novels on which the British-Irish crime drama television series Quirke is based?,"What is the nationality of the author who wrote the novels on which the British-Irish crime drama television series Quirke is based?
Let's think step by step.",
can you watch an employment tribunal,can you watch an employment tribunal,"can you watch an employment tribunal
Let's think step by step.",
does dss include students,does dss include students,"does dss include students
Let's think step by step.",
where is gythion greece,where is gythion greece,"where is gythion greece
Let's think step by step.",
weber surname meaning,weber surname meaning,"weber surname meaning
Let's think step by step.",
what is manipulative therapy,what is manipulative therapy,"what is manipulative therapy
Let's think step by step.",
wHAT IS CABBAGE ETIMOLOGY OF  OF OLYMPIC GAMES SEASON BEGINS ?,wHAT IS CABBAGE ETIMOLOGY OF  OF OLYMPIC GAMES SEASON BEGINS ?,"wHAT IS CABBAGE ETIMOLOGY OF  OF OLYMPIC GAMES SEASON BEGINS ?
Let's think step by step.",
